DateTime,AddedIPs,RemovedIPs
1546039991,3,0
1546046194,1,0
1546048427,0,6
1546056294,1,0
1546058460,0,1
1546064476,0,1
1546068283,2,2
1546070519,0,2
1546074284,0,1
1546076210,0,1
1546080054,0,1
1546081965,0,1
1546083896,0,1
1546091808,0,1
1546093709,0,2
1546095723,0,2
1546105471,1,1
1546111476,1,0
1546113420,1,0
1546117312,0,1
1546125179,0,3
1546131149,0,1
1546143201,0,1
1546149183,1,0
1546151073,1,0
1546154905,1,2
1546162855,1,0
1546170520,1,0
1546192356,0,1
1546196493,1,1
1546200291,1,1
1546218989,1,0
1546220913,1,0
1546224773,1,0
1546226681,1,0
1546228587,2,0
1546232529,1,0
1546234356,0,1
1546236292,1,0
1546238473,0,1
1546240375,2,0
1546242282,2,1
1546244195,1,0
1546246133,1,0
1546249948,1,1
1546253789,1,0
1546255956,1,0
1546257921,0,1
1546269625,1,0
1546271547,2,0
1546273463,2,0
1546277306,1,0
1546283557,0,1
1546285499,2,1
1546289551,1,0
1546305408,0,1
1546307581,1,1
1546311743,0,1
1546313781,0,2
1546315948,0,1
1546319787,0,1
1546321730,1,1
1546327490,0,2
1546329379,0,2
1546331332,0,1
1546333319,0,1
1546335179,1,0
1546337119,0,1
1546340922,0,1
1546343142,0,1
1546346917,1,0
1546354928,0,1
1546358691,0,3
1546360585,0,1
1546364420,1,1
1546372369,0,2
1546376186,0,1
1546388218,1,0
1546392302,1,0
1546394212,0,1
1546401909,1,0
1546403800,1,0
1546407630,0,1
1546421570,0,1
1546431166,1,0
1546435022,0,1
1546450604,0,1
1546458917,1,0
1546474862,0,1
1546479166,2,1
1546482998,2,0
1546487068,1,0
1546489251,0,2
1546491136,1,0
1546493058,2,0
1546502906,2,0
1546504860,2,0
1546506741,1,0
1546516352,0,1
1546532224,1,0
1546534390,2,0
1546536278,1,0
1546544217,1,1
1546546363,1,0
1546564370,0,1
1546566271,0,1
1546568171,0,2
1546574102,1,1
1546578091,1,1
1546580186,4,2
1546584250,1,0
1546586209,1,0
1546588097,0,1
1546590032,0,1
1546591935,0,3
1546593881,1,0
1546601795,1,0
1546615942,1,0
1546620269,0,3
1546622180,1,0
1546624117,2,1
1546630126,1,1
1546632058,0,1
1546648024,1,0
1546650110,2,0
1546651955,1,0
1546655809,1,0
1546657973,1,0
1546659870,1,1
1546662057,1,0
1546663967,1,1
1546665885,2,4
1546667792,1,0
1546669954,0,1
1546673782,0,1
1546681478,1,1
1546689395,0,1
1546693310,1,0
1546703092,1,1
1546708844,1,1
1546710772,0,2
1546716509,0,1
1546735976,0,3
1546737876,0,1
1546741978,0,1
1546743891,0,1
1546746055,0,1
1546747955,0,1
1546749866,0,1
1546752059,0,2
1546753944,1,1
1546762175,4,0
1546765960,1,0
1546767869,0,1
1546776134,2,0
1546777983,1,0
1546779909,0,1
1546782059,2,0
1546783967,1,0
1546789744,0,1
1546795750,0,1
1546807242,1,0
1546811074,1,0
1546818997,1,0
1546827208,1,0
1546829113,1,0
1546838964,1,1
1546840951,1,0
1546848535,1,4
1546850431,1,0
1546852361,0,1
1546854322,1,0
1546858526,1,0
1546862564,0,2
1546864384,1,1
1546866556,1,0
1546868443,0,2
1546870360,0,1
1546887903,1,0
1546893914,1,1
1546897744,0,1
1546901554,1,0
1546905435,0,1
1546913583,0,1
1546915497,1,1
1546925099,0,1
1546926998,0,1
1546933265,1,0
1546935147,0,1
1546937068,1,1
1546941168,1,1
1546943098,0,1
1546948869,1,0
1546950932,0,1
1546953188,1,1
1546955087,1,0
1546957017,2,0
1546959191,1,0
1546964918,2,0
1546966936,1,0
1546968777,1,0
1546970722,1,0
1546974776,0,1
1546976925,3,0
1546980767,0,1
1546982686,2,0
1546988728,0,1
1546990613,1,0
1547000464,1,1
1547004269,1,0
1547019893,2,1
1547022061,1,1
1547025870,0,1
1547031746,1,0
1547033588,1,0
1547035531,0,1
1547039312,0,1
1547041492,0,1
1547043400,0,2
1547047477,0,1
1547049700,0,1
1547051801,0,1
1547053980,0,1
1547056113,1,1
1547058286,0,1
1547064106,0,3
1547065960,1,0
1547070107,0,2
1547071962,1,0
1547077960,0,1
1547086383,0,1
1547090219,0,1
1547102190,1,0
1547106265,0,2
1547110115,0,1
1547114522,1,0
1547116604,0,1
1547120950,0,1
1547128984,1,0
1547133160,1,0
1547143366,0,1
1547147131,1,0
1547153091,0,1
1547159082,1,1
1547188376,0,1
1547200371,0,1
1547208140,1,0
1547210218,2,0
1547212132,1,0
1547216227,0,1
1547218350,0,1
1547232534,1,1
1547245254,0,1
1547255561,1,0
1547257515,2,0
1547261583,1,0
1547275716,1,0
1547277686,1,0
1547295656,0,2
1547297586,1,1
1547299496,0,1
1547303310,1,0
1547309844,1,0
1547313907,1,0
1547317712,1,0
1547319721,1,1
1547327335,2,0
1547331409,1,0
1547335465,1,0
1547339573,1,0
1547341483,0,1
1547343407,0,2
1547345585,1,0
1547347466,0,1
1547353964,1,0
1547359954,1,0
1547361891,0,1
1547363807,1,1
1547373913,1,0
1547383481,0,1
1547389492,0,1
1547395512,0,1
1547397636,2,0
1547399862,1,1
1547403637,0,1
1547407501,1,1
1547409438,2,0
1547413500,1,2
1547415394,1,0
1547419539,0,1
1547421413,0,1
1547425257,1,1
1547431320,0,1
1547436995,2,0
1547441110,0,1
1547443026,1,0
1547447087,0,1
1547450928,1,1
1547453111,1,0
1547455228,3,0
1547457186,1,0
1547459091,2,1
1547461278,1,0
1547471113,1,0
1547484747,0,3
1547486686,1,0
1547494383,0,1
1547496289,0,2
1547500376,0,1
1547502283,0,1
1547513089,0,1
1547520991,1,0
1547522914,0,1
1547524927,0,1
1547528738,1,1
1547530861,1,0
1547532785,2,0
1547534934,1,0
1547536838,0,1
1547538744,1,1
1547540683,0,3
1547544765,0,1
1547546704,1,3
1547548869,1,0
